ID,Posted at,Screen name,Text
5.55013E+17,2015-01-13 14:44:36 +0000,OKearthquakes,"Magnitude 2.8 at 2015-01-13 07:55:40.746000 (CST) 2.5 miles NE of Renfrow; 36.948,-97.622,z=4.1km"
5.55016E+17,2015-01-13 14:59:36 +0000,OKearthquakes,"Magnitude 2.5 at 2015-01-13 08:06:38.043999 (CST) 1.8 miles NE of Medford; 36.822,-97.707,z=5.4km"
5.55024E+17,2015-01-13 15:29:38 +0000,OKearthquakes,"Magnitude 3.6 at 2015-01-13 03:59:46.420999 (CST) 1.7 miles ENE of Medford; 36.817,-97.707,z=5.5km"
5.55024E+17,2015-01-13 15:29:38 +0000,OKearthquakes,"Magnitude 2.4 at 2015-01-13 08:26:17.314000 (CST) 7.4 miles ESE of Orlando; 36.128,-97.249,z=3.2km"
5.55028E+17,2015-01-13 15:44:37 +0000,OKearthquakes,"Magnitude 2.8 at 2015-01-13 06:00:36.314000 (CST) 4.2 miles ENE of Covington; 36.332,-97.518,z=7.3km"
5.55039E+17,2015-01-13 16:31:20 +0000,OKearthquakes,"Magnitude 2.5 at 2015-01-13 02:08:59.128000 (CST) 8.3 miles E of Driftwood; 36.882,-98.210,z=6.3km"
5.55047E+17,2015-01-13 17:01:24 +0000,OKearthquakes,"Magnitude 2.6 at 2015-01-13 10:15:31.710000 (CST) 5.8 miles S of Covington; 36.225,-97.569,z=5.1km"
5.55058E+17,2015-01-13 17:46:27 +0000,OKearthquakes,"Magnitude 2.8 at 2015-01-13 11:07:05.054999 (CST) 6.4 miles NW of Arcadia; 35.739,-97.388,z=5.4km"
5.55062E+17,2015-01-13 18:01:23 +0000,OKearthquakes,"Magnitude 2.6 at 2015-01-13 10:24:04.211999 (CST) 4.2 miles ENE of Driftwood; 36.895,-98.287,z=5.0km"
5.55066E+17,2015-01-13 18:16:26 +0000,OKearthquakes,"Magnitude 2.2 at 2015-01-13 10:42:47.963999 (CST) 5.5 miles WNW of Sand Creek; 36.868,-98.113,z=7.0km"
